Species;Family;Region;Continent;Realm;First_Observation;IntentionalRelease;Latest_Reference;Latest_Reference_Year
Rhyacionia buoliana;Tortricidae;Argentina;South America;Neotropical;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Rhyacionia buoliana;Tortricidae;Canada;North America;Nearctic;1927;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Rhyacionia buoliana;Tortricidae;Chile;South America;Neotropical;1985;;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Rhyacionia buoliana;Tortricidae;Portugal;Europe;Palearctic;;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Rhyacionia buoliana;Tortricidae;Uruguay;South America;Neotropical;;;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database. Available at: https://gd.eppo.int;2024
Rhyacionia buoliana;Tortricidae;United States;North America;Nearctic;1913;0;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database. Available at: https://gd.eppo.int;2024
Rhyacionia buoliana;Tortricidae;Alaska;North America;Nearctic;;0;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Rhyacionia buoliana;Tortricidae;South Africa;Africa;Afrotropical;;;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Rhynchopalpus brunella;Nolidae;Hawaii;Oceania;Nearctic;1964;1;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Rothschildia orizaba;Saturniidae;Poland;Europe;Palearctic;;;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Salbia haemorrhoidalis;Crambidae;Australia;Australia;Australian;;1;Mally, R., et al. (2022), Moths and butterflies on alien shores - global biogeography of non-native Lepidoptera. Dryad, Dataset. Available at: https://doi.org/10.5061/dryad.31zcrjdnw;2022
Salbia haemorrhoidalis;Crambidae;French African Islands;Africa;Madagascan;2015;0;Bippus, M. (2019). Pyraloidea of Mauritius and neighbouring islands (Lepidoptera). Phelsuma. 27: 36-57;2019
Salbia haemorrhoidalis;Crambidae;Mauritius;Africa;Oceanina;1965;1;Bippus, M. (2019). Pyraloidea of Mauritius and neighbouring islands (Lepidoptera). Phelsuma. 27: 36-57;2019
Salbia haemorrhoidalis;Crambidae;Swaziland;Africa;Afrotropical;;;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Salbia haemorrhoidalis;Crambidae;Hawaii;Oceania;Nearctic;1956;1;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Salbia haemorrhoidalis;Crambidae;South Africa;Africa;Afrotropical;1960;1;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Samea ecclesialis;Crambidae;Galapagos;South America;Neotropical;1964;0;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Samea multiplicalis;Crambidae;Australia;Australia;Australian;;;Mally, R., et al. (2022), Moths and butterflies on alien shores - global biogeography of non-native Lepidoptera. Dryad, Dataset. Available at: https://doi.org/10.5061/dryad.31zcrjdnw;2022
Sameodes cancellalis;Crambidae;Denmark;Europe;Palearctic;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Samia cynthia;Saturniidae;Albania;Europe;Palearctic;;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Samia cynthia;Saturniidae;Australia;Australia;Australian;;0;Mally, R., et al. (2022), Moths and butterflies on alien shores - global biogeography of non-native Lepidoptera. Dryad, Dataset. Available at: https://doi.org/10.5061/dryad.31zcrjdnw;2022
Samia cynthia;Saturniidae;Austria;Europe;Palearctic;;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Samia cynthia;Saturniidae;Canada;North America;Nearctic;;;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Samia cynthia;Saturniidae;Switzerland;Europe;Palearctic;;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Samia cynthia;Saturniidae;Germany;Europe;Palearctic;;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Samia cynthia;Saturniidae;Spain;Europe;Palearctic;1900;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Samia cynthia;Saturniidae;France;Europe;Palearctic;;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Samia cynthia;Saturniidae;Georgia;Asia;Palearctic;;0;Peigler, R., Naumann, S. (2003). A revision of the silkmoth genus Samia.  University of the Incarnate Word, San Antonio. Texas, United States of America.;2003
Samia cynthia;Saturniidae;Croatia;Europe;Palearctic;;0;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Samia cynthia;Saturniidae;Italy;Europe;Palearctic;;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Samia cynthia;Saturniidae;Japan;Asia;Sino-Japanese;;0;Peigler, R., Naumann, S. (2003). A revision of the silkmoth genus Samia.  University of the Incarnate Word, San Antonio. Texas, United States of America.;2003
Samia cynthia;Saturniidae;Slovenia;Europe;Palearctic;;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Samia cynthia;Saturniidae;United States;North America;Nearctic;1870;0;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Sarisophora leucoscia;Lecithoceridae;New Zealand;Oceania;Australian;1998;0;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Saturnia pyri;Saturniidae;Denmark;Europe;Palearctic;;;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Scardia amurensis;Tineidae;United States;North America;Nearctic;1967;0;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Sceliodes laisalis;Crambidae;Portugal;Europe;Palearctic;;0;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database. Available at: https://gd.eppo.int;2024
Sceliodes laisalis;Crambidae;Spain;Europe;Palearctic;;0;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database. Available at: https://gd.eppo.int;2024
Sceliodes laisalis;Crambidae;United Kingdom;Europe;Palearctic;;0;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Schiffermuelleria amasiella;Oecophoridae;Belgium;Europe;Palearctic;;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Schiffermuelleria amasiella;Oecophoridae;Germany;Europe;Palearctic;;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Schiffermuelleria amasiella;Oecophoridae;Denmark;Europe;Palearctic;;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Schiffermuelleria amasiella;Oecophoridae;France;Europe;Palearctic;;;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Schiffermuelleria amasiella;Oecophoridae;Netherlands;Europe;Palearctic;;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Schiffermuelleria amasiella;Oecophoridae;Sweden;Europe;Palearctic;;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Schreckensteinia festaliella;Schreckensteiniidae;Canada;North America;Nearctic;;0;VanDyk, J., et al. (2020). BugGuide - Identification, Images, and Information For Insects, Spiders and Their Kin For the United States and Canada. Version 1.5. United States Geological Survey. Available at: https://bugguide.net/;2020
Schreckensteinia festaliella;Schreckensteiniidae;United States;North America;Nearctic;;0;VanDyk, J., et al. (2020). BugGuide - Identification, Images, and Information For Insects, Spiders and Their Kin For the United States and Canada. Version 1.5. United States Geological Survey. Available at: https://bugguide.net/;2020
Schreckensteinia festaliella;Schreckensteiniidae;Alaska;North America;Nearctic;2008;0;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Schreckensteinia festaliella;Schreckensteiniidae;Hawaii;Oceania;Nearctic;1963;1;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Sciota adelphella;Pyralidae;United Kingdom;Europe;Palearctic;1992;;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Sclerocona acutella;Crambidae;United States;North America;Nearctic;1984;0;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Scopula personata;Geometridae;Hawaii;Oceania;Nearctic;1976;0;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Scrobipalpa aptatella;Gelechiidae;Cyprus;Asia;Saharo-Arabian;1970;0;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database. Available at: https://gd.eppo.int;2024
Scrobipalpa obsoletella;Gelechiidae;New Zealand;Oceania;Australian;1980;0;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Scrobipalpa obsoletella;Gelechiidae;United States;North America;Nearctic;;0;Bidzilya, O., Li, H. (2010). The genus Scrobipalpa Janse (Lepidoptera, Gelechiidae) in China, with descriptions of 13 new species. Zootaxa. 2513(1): 1-26;2010
Scrobipalpa ocellatella;Gelechiidae;Ireland;Europe;Palearctic;;;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Scythris buszkoi;Scythrididae;Poland;Europe;Palearctic;;;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Scythris sinensis;Scythrididae;United States;North America;Nearctic;2011;0;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Sedina buettneri;Noctuidae;Bulgaria;Europe;Palearctic;1980;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Selania leplastriana;Tortricidae;Sweden;Europe;Palearctic;;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Sericinus montela;Papilionidae;Japan;Asia;Sino-Japanese;1970;1;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Serrodes mediopallens;Erebidae;Australia;Australia;Australian;;0;PaDIL (2025). The Pest and Disease Image Library (PaDIL). Available at: https://www.padil.gov.au/;2025
Sesamia inferens;Noctuidae;United States;North America;Nearctic;;0;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database. Available at: https://gd.eppo.int;2024
Sesamia nonagrioides;Noctuidae;Azores;Europe;Palearctic;;0;Lopez-Vaamonde, C., et al. (2010). Lepidoptera. Chapter 11. BioRisk. 4: 603-668;2010
Sesamia nonagrioides;Noctuidae;Madeira;Africa;Palearctic;;0;Lopez-Vaamonde, C., et al. (2010). Lepidoptera. Chapter 11. BioRisk. 4: 603-668;2010
Sesia apiformis;Sesiidae;United States;North America;Nearctic;1880;0;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Setomorpha rutella;Tineidae;Galapagos;South America;Neotropical;2001;;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Setomorpha rutella;Tineidae;United Kingdom;Europe;Palearctic;;0;Davis, T. (2012). A Review of the Status of Microlepidoptera in Britain. Butterfly Conservation Report No. S12-02. Butterfly Conservation, Wareham.;2012
Sibine apicalis;Limacodidae;Denmark;Europe;Palearctic;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Simplicia cornicalis;Erebidae;United States;North America;Nearctic;2006;0;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Sinica sinica;Zygaenidae;United Kingdom;Europe;Palearctic;;;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Sinica sinica;Zygaenidae;United States;North America;Nearctic;2004;0;Schultz, P., et al. (2006). Biology and Distribution of Pryeria sinica, a New Pest of Euonymus Found in Virginia and Maryland. Plant Health Progress. 7(1): 49;2006
Sisyracera inabsconsalis;Crambidae;Galapagos;South America;Neotropical;1989;;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Sitochroa palealis;Crambidae;United States;North America;Nearctic;2004;0;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Sitotroga cerealella;Gelechiidae;Albania;Europe;Palearctic;;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Sitotroga cerealella;Gelechiidae;Australia;Australia;Australian;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Sitotroga cerealella;Gelechiidae;Austria;Europe;Palearctic;1912;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Sitotroga cerealella;Gelechiidae;Belgium;Europe;Palearctic;;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Sitotroga cerealella;Gelechiidae;Bulgaria;Europe;Palearctic;1930;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Sitotroga cerealella;Gelechiidae;Belarus;Europe;Palearctic;;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Sitotroga cerealella;Gelechiidae;Switzerland;Europe;Palearctic;2001;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Sitotroga cerealella;Gelechiidae;Chile;South America;Neotropical;1962;;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Sitotroga cerealella;Gelechiidae;China;Asia;Palearctic;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Sitotroga cerealella;Gelechiidae;Cyprus;Asia;Saharo-Arabian;1937;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Sitotroga cerealella;Gelechiidae;Czechia;Europe;Palearctic;1900;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Sitotroga cerealella;Gelechiidae;Germany;Europe;Palearctic;1790;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Sitotroga cerealella;Gelechiidae;Denmark;Europe;Palearctic;;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Sitotroga cerealella;Gelechiidae;Galapagos;South America;Neotropical;2001;;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Sitotroga cerealella;Gelechiidae;Spain;Europe;Palearctic;1928;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Sitotroga cerealella;Gelechiidae;France;Europe;Palearctic;;0;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Sitotroga cerealella;Gelechiidae;United Kingdom;Europe;Palearctic;;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Sitotroga cerealella;Gelechiidae;Greece;Europe;Palearctic;1790;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Sitotroga cerealella;Gelechiidae;Croatia;Europe;Palearctic;;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Sitotroga cerealella;Gelechiidae;Hungary;Europe;Palearctic;;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Sitotroga cerealella;Gelechiidae;Iceland;Europe;Palearctic;;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Sitotroga cerealella;Gelechiidae;Italy;Europe;Palearctic;1871;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Sitotroga cerealella;Gelechiidae;Sicily and Sardinia;Europe;Palearctic;;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Sitotroga cerealella;Gelechiidae;Japan;Asia;Oriental;;0;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Sitotroga cerealella;Gelechiidae;Japan;Asia;Sino-Japanese;1889;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Sitotroga cerealella;Gelechiidae;Kenya;Africa;Afrotropical;;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Sitotroga cerealella;Gelechiidae;South Korea;Asia;Palearctic;;;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Sitotroga cerealella;Gelechiidae;Lithuania;Europe;Palearctic;;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Sitotroga cerealella;Gelechiidae;North Macedonia;Europe;Palearctic;;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Sitotroga cerealella;Gelechiidae;Malta;Europe;Saharo-Arabian;1932;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Sitotroga cerealella;Gelechiidae;Mongolia;Asia;Palearctic;;;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Sitotroga cerealella;Gelechiidae;Netherlands;Europe;Palearctic;;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Sitotroga cerealella;Gelechiidae;Norway;Europe;Palearctic;1971;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Sitotroga cerealella;Gelechiidae;New Zealand;Oceania;Australian;1908;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Sitotroga cerealella;Gelechiidae;Poland;Europe;Palearctic;1900;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Sitotroga cerealella;Gelechiidae;Portugal;Europe;Palearctic;;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Sitotroga cerealella;Gelechiidae;Azores;Europe;Palearctic;;0;Roy, D., et al. (2020). DAISIE - Delivering Alien Invasive Species Inventories for Europe. Available at: http://www.europe-aliens.org/;2020
Sitotroga cerealella;Gelechiidae;Romania;Europe;Palearctic;1914;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Sitotroga cerealella;Gelechiidae;Russia Europe;Europe;Palearctic;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Sitotroga cerealella;Gelechiidae;Russia Asia;Asia;Palearctic;;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Sitotroga cerealella;Gelechiidae;Serbia;Europe;Palearctic;1912;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Sitotroga cerealella;Gelechiidae;Slovakia;Europe;Palearctic;1900;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Sitotroga cerealella;Gelechiidae;Slovenia;Europe;Palearctic;1951;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Sitotroga cerealella;Gelechiidae;Sweden;Europe;Palearctic;;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Sitotroga cerealella;Gelechiidae;Venezuela;South America;Neotropical;;0;Pullaiah, T., Ielmini, M.R. (Eds.) (2021). Invasive Alien Species: Observations and Issues from Around the World. Volume 4: Issues and Invasions in the Americas and the Caribbean. Wiley. 384pp.;2021
Sitotroga cerealella;Gelechiidae;South Africa;Africa;Afrotropical;;0;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Sphacelodes vulneraria;Geometridae;Galapagos;South America;Neotropical;1964;;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Sphenarches anisodactylus;Pterophoridae;Australia;Australia;Australian;;;Mally, R., et al. (2022), Moths and butterflies on alien shores - global biogeography of non-native Lepidoptera. Dryad, Dataset. Available at: https://doi.org/10.5061/dryad.31zcrjdnw;2022
Sphinx pinastri;Sphingidae;Canada;North America;Nearctic;;;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Sphinx pinastri;Sphingidae;United States;North America;Nearctic;;0;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Sphyrelata amotella;Oecophoridae;New Zealand;Oceania;Australian;1955;;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Spilonota laricana;Tortricidae;Canada;North America;Nearctic;;0;Gilligan, T., et al. (2020). Immigrant Tortricidae: Holarctic versus Introduced Species in North America. Insects. 11(9):594;2020
Spilonota laricana;Tortricidae;United States;North America;Nearctic;1975;0;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Spilonota ocellana;Tortricidae;United States;North America;Nearctic;1840;0;Simpson, A., et al. (2022). United States Register of Introduced and Invasive Species (US-RIIS) (ver. 2.0, November 2022): U.S. Geological Survey data release. Available at: https://www.sciencebase.gov/catalog/item/62d59ae5d34e87fffb2dda99;2022
Spodoptera cilium;Noctuidae;Japan;Asia;Sino-Japanese;1999;;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Spodoptera dolichos;Noctuidae;Denmark;Europe;Palearctic;;;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Spodoptera dolichos;Noctuidae;France;Europe;Palearctic;;;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Spodoptera eridania;Noctuidae;Benin;Africa;Afrotropical;2017;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Spodoptera eridania;Noctuidae;Cameroon;Africa;Afrotropical;2018;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Spodoptera eridania;Noctuidae;Denmark;Europe;Palearctic;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Spodoptera eridania;Noctuidae;Gabon;Africa;Afrotropical;2018;0;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Spodoptera eridania;Noctuidae;United Kingdom;Europe;Palearctic;;;Invasive Species Specialist Group ISSG (2020). Global Register of Introduced and Invasive Species GRIIS. Available at: https://griis.org;2020
Spodoptera eridania;Noctuidae;India;Asia;Oriental;2019;0;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database. Available at: https://gd.eppo.int;2024
Spodoptera eridania;Noctuidae;Nigeria;Africa;Afrotropical;2016;0;European and Mediterranean Plant Protection Organization (EPPO) (2024). EPPO Global Database. Available at: https://gd.eppo.int;2024
Spodoptera exempta;Noctuidae;Hawaii;Oceania;Nearctic;1868;0;Turner, R., et al. (2024). International Non-native Insect Establishment Data (0.2.1) [Data set]. Zenodo.;2024
Spodoptera exigua;Noctuidae;Australia;Australia;Australian;;;Mally, R., et al. (2022), Moths and butterflies on alien shores - global biogeography of non-native Lepidoptera. Dryad, Dataset. Available at: https://doi.org/10.5061/dryad.31zcrjdnw;2022
