Species;Family;Region;Continent;Realm;First_Observation;IntentionalRelease;Latest_Reference;Latest_Reference_Year
Crocidosema plebejana;Tortricidae;Germany;Europe;Palearctic;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Crocidosema plebejana;Tortricidae;Galapagos;South America;Neotropical;1923;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Crocidosema plebejana;Tortricidae;Egypt;Africa;Saharo-Arabian;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Crocidosema plebejana;Tortricidae;Spain;Europe;Palearctic;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Crocidosema plebejana;Tortricidae;Canary Islands;Africa;Palearctic;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Crocidosema plebejana;Tortricidae;France;Europe;Palearctic;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Crocidosema plebejana;Tortricidae;French Polynesia;Oceania;Oceanina;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Crocidosema plebejana;Tortricidae;United Kingdom;Europe;Palearctic;1900;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Crocidosema plebejana;Tortricidae;British African Islands;Africa;Afrotropical;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Crocidosema plebejana;Tortricidae;British North American Islands;North America;Nearctic;1980;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Crocidosema plebejana;Tortricidae;British North American Islands;North America;Panamanian;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Crocidosema plebejana;Tortricidae;Grenada;North America;Neotropical;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Crocidosema plebejana;Tortricidae;India;Asia;Oriental;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
Crocidosema plebejana;Tortricidae;Ireland;Europe;Palearctic;;;CAB International (CABI) (2024). CABI Invasive Species Compendium. Available at: https://www.cabidigitallibrary.org/product/QI;2024
